audio_id,ori_seg_Coherence_mean,ori_seg_Coherence_std,user_seg_Coherence_mean,user_seg_Coherence_std,ori_full_Coherence,user_full_Coherence,ori_seg_Musicality_mean,ori_seg_Musicality_std,user_seg_Musicality_mean,user_seg_Musicality_std,ori_full_Musicality,user_full_Musicality,ori_seg_Memorability_mean,ori_seg_Memorability_std,user_seg_Memorability_mean,user_seg_Memorability_std,ori_full_Memorability,user_full_Memorability,ori_seg_Clarity_mean,ori_seg_Clarity_std,user_seg_Clarity_mean,user_seg_Clarity_std,ori_full_Clarity,user_full_Clarity,ori_seg_Naturalness_mean,ori_seg_Naturalness_std,user_seg_Naturalness_mean,user_seg_Naturalness_std,ori_full_Naturalness,user_full_Naturalness
355073880,2.6256,0.2562,3.1718,0.3311,2.1801,3.0299,2.7975,0.2455,3.2882,0.2936,2.3471,3.0986,2.6378,0.2576,3.2292,0.3471,2.1726,2.9554,2.612,0.2563,3.2528,0.3282,2.0839,3.0775,2.6446,0.2154,3.121,0.2697,2.2536,3.027
347915234,2.377,0.2047,2.9061,0.1933,1.9782,3.3067,2.5366,0.2171,3.0753,0.2181,2.1099,3.2979,2.3711,0.2246,2.9073,0.2009,1.8861,3.0269,2.3471,0.2159,3.0007,0.2025,1.8706,3.2329,2.3842,0.1973,2.98,0.189,1.8978,3.236
340733372,2.2907,0.2298,2.9175,0.2338,1.8344,3.1714,2.497,0.2133,3.1101,0.2509,1.9481,3.0141,2.3163,0.2277,2.9902,0.2613,1.7034,2.922,2.3131,0.2085,2.9527,0.2253,1.7095,3.1433,2.3498,0.2011,2.9085,0.2394,1.8834,2.9804
346072967,2.6256,0.2562,3.2449,0.3007,2.1801,3.2635,2.7975,0.2455,3.3442,0.2567,2.3471,3.1649,2.6378,0.2576,3.3086,0.3066,2.1726,3.0681,2.612,0.2563,3.2951,0.2845,2.0839,3.2339,2.6446,0.2154,3.213,0.2838,2.2536,3.0708
350605605,2.5086,0.2234,3.1619,0.2745,2.1545,2.7474,2.6897,0.2082,3.267,0.2601,2.1569,2.5904,2.4742,0.2267,3.2119,0.2766,1.9797,2.4068,2.5076,0.221,3.1558,0.2341,1.9746,2.7039,2.571,0.1889,3.0489,0.2416,2.0744,2.4283
346436872,2.1272,0.1782,2.9746,0.2926,1.8714,3.4097,2.2759,0.1887,3.1477,0.3249,1.8773,3.321,2.0943,0.2023,3.0702,0.3437,1.6812,3.3287,2.1537,0.1994,3.0817,0.3166,1.7614,3.2311,2.1961,0.1993,2.9969,0.2877,1.8952,3.275
347228560,2.4787,0.2273,3.2453,0.3728,1.9887,2.972,2.7001,0.2115,3.4895,0.3368,2.0739,2.7671,2.4938,0.2296,3.2981,0.3545,1.7756,2.5397,2.5358,0.2279,3.2913,0.3148,1.9429,2.7912,2.5226,0.2035,3.1673,0.3437,1.9872,2.6221
344558439,2.7604,0.3086,3.2983,0.3705,2.3807,3.1561,2.904,0.2958,3.3627,0.3483,2.4489,3.1728,2.7848,0.3188,3.3238,0.3673,2.2025,3.071,2.7314,0.3069,3.3267,0.3521,2.2404,3.232,2.723,0.2903,3.2652,0.3446,2.3006,3.102
341686252,2.4787,0.2273,2.9913,0.3248,1.9887,3.3065,2.7001,0.2115,3.135,0.3269,2.0739,3.1035,2.4938,0.2296,3.0261,0.3074,1.7756,2.99,2.5358,0.2279,3.1441,0.3158,1.9429,3.3051,2.5226,0.2035,2.904,0.2725,1.9872,3.0446
349445046,2.3949,0.2478,3.0329,0.2571,1.821,2.8143,2.5342,0.2451,3.1678,0.2298,1.9259,2.766,2.3607,0.2578,3.0406,0.2435,1.69,2.5441,2.3917,0.234,3.0276,0.2158,1.7011,2.5896,2.4251,0.2384,2.9635,0.2366,1.7811,2.6156
