filename,score
688848_250817070302007668.m4a,-2.3031246662139893
443282_250817113259015411.m4a,-2.303126335144043
446979_250817121847007935.m4a,-2.303126096725464
463373_250817073731002939.m4a,-2.303126335144043
683690_250817125005008233.m4a,-2.3031249046325684
446919_250817145902009183.m4a,-2.3031253814697266
463284_250817072559015250.m4a,-2.303126335144043
464171_250817083516011374.m4a,-2.303126573562622
461426_250817135522006182.m4a,-2.303131103515625
20846734_final.m4a,-2.3031253814697266
684041_250817071318008524.m4a,-2.3031387329101562
20830383_final.m4a,-2.3031246662139893
713578_250817050159005912.m4a,-2.303126335144043
703813_250817140007007253.m4a,-2.3031177520751953
683767_250817065212004932.m4a,-2.303126811981201
448443_250817131959007806.m4a,-2.3031256198883057
683715_250817074549003074.m4a,-2.3031258583068848
683859_250817040338010611.m4a,-2.303123712539673
683677_250817091818013858.m4a,-2.3031270503997803
20830621_final.m4a,-2.303123950958252
683852_250817043804010623.m4a,-2.3031253814697266
683058_250817093549001218.m4a,-2.303126335144043
463445_250817071247012165.m4a,-2.3031251430511475
459574_250817073125013187.m4a,-2.303126335144043
464301_250817082031007294.m4a,-2.3031320571899414
457844_250817072516005689.m4a,-2.3031246662139893
683144_250817065627009101.m4a,-2.3031251430511475
683091_250817092915007175.m4a,-2.303135871887207
453417_250817091533004714.m4a,-2.3031256198883057
478721_250817143626013523.m4a,-2.3031249046325684
447664_250818074927011797.m4a,-2.303126335144043
446916_250818124405010110.m4a,-2.3031251430511475
20859946_final.m4a,-2.3031253814697266
454430_250818125611013176.m4a,-2.3031258583068848
464273_250818082119015559.m4a,-2.3031251430511475
675476_250818053052014387.m4a,-2.303121328353882
478346_250818090859003137.m4a,-2.3031251430511475
464171_250818125111007252.m4a,-2.3031258583068848
638423_250818120509004951.m4a,-2.3031249046325684
456714_250818094600006761.m4a,-2.303126335144043
684885_250818152943015649.m4a,-2.303126573562622
456059_250818135038010930.m4a,-2.3031249046325684
462534_250818061011013048.m4a,-2.303126335144043
20862150_final.m4a,-2.3031253814697266
460172_250818111646003749.m4a,-2.3031253814697266
448241_250818164434006637.m4a,-2.3031320571899414
683723_250818124245007805.m4a,-2.303126573562622
679606_250818161047011158.m4a,-2.303126335144043
683065_250818093311005978.m4a,-2.303133487701416
449194_250818120121011256.m4a,-2.303131580352783
683144_250818104424008747.m4a,-2.3031320571899414
445871_250818123201015483.m4a,-2.3031258583068848
461623_250818150036007132.m4a,-2.303121328353882
458227_250818133730005911.m4a,-2.303126335144043
464301_250818164154005679.m4a,-2.303126573562622
711886_250818180448012033.m4a,-2.303126573562622
463437_250818050244001626.m4a,-2.303133487701416
712555_250818135117011635.m4a,-2.3031253814697266
683153_250818070354006615.m4a,-2.303126335144043
20853511_final.m4a,-2.3031246662139893
683084_250818173218010449.m4a,-2.3031184673309326
222927_250818130412005392.m4a,-2.3031258583068848
676174_250818175851000627.m4a,-2.303126573562622
683153_250818070020010332.m4a,-2.303126335144043
683144_250818091550005917.m4a,-2.303126335144043
454430_250818131959005392.m4a,-2.303126573562622
683762_250818085113004306.m4a,-2.3031251430511475
478405_250818143751005513.m4a,-2.3031249046325684
456910_250818073343015702.m4a,-2.303126573562622
463735_250818102953000979.m4a,-2.303126335144043
725936_250818134532005392.m4a,-2.3031249046325684
445331_250818161701012299.m4a,-2.3031303882598877
446916_250818100326003545.m4a,-2.303131103515625
446548_250818150425009140.m4a,-2.3031365871429443
461619_250818075016006273.m4a,-2.303126573562622
448566_250818152203006676.m4a,-2.3031468391418457
463674_250818115130006538.m4a,-2.3031253814697266
689423_250818123241006226.m4a,-2.3031258583068848
685798_250818132517007805.m4a,-2.303133726119995
683144_250818135913015835.m4a,-2.303126573562622
447330_250824152619003711.m4a,-2.3031258583068848
683839_250824131527013528.m4a,-2.3031327724456787
685640_250824050244012371.m4a,-2.3031234741210938
446315_250824075628015283.m4a,-2.30312442779541
679606_250824085201003543.m4a,-2.3031246662139893
683144_250824093851009021.m4a,-2.303126096725464
464301_250824124913010433.m4a,-2.303126335144043
673702_250824085721004172.m4a,-2.3031249046325684
