audio_file,Coherence,Musicality,Memorability,Clarity,Naturalness
253.mp3,2.5626,2.529,1.8084,2.376,2.2608
2166.mp3,4.5136,4.5282,3.9546,4.0211,3.4826
2263.mp3,1.6961,1.4936,1.4798,1.3116,1.3195
1954.mp3,4.5476,3.8738,3.8451,4.0795,3.626
2255.mp3,4.7301,4.5081,4.6874,4.0078,4.262
55.mp3,4.2279,3.685,3.7402,3.7428,3.4509
1191.mp3,3.849,3.593,3.7052,3.522,3.7649
1713.mp3,4.4855,4.0646,4.451,4.2034,4.1966
2003.mp3,4.4843,4.24,4.6387,4.2691,4.0268
2365.mp3,4.5698,4.7335,4.8314,4.5091,4.7068
107.mp3,1.7347,1.9997,1.6421,1.665,2.6873
887.mp3,1.499,1.5116,1.2989,1.2999,1.5527
139.mp3,2.8104,2.6494,2.992,2.9608,3.2307
1410.mp3,2.7945,3.1028,3.3377,2.9446,3.1528
2353.mp3,4.2585,4.0177,4.2236,4.0026,3.9969
549.mp3,2.2515,1.5284,2.0095,1.7707,1.764
1457.mp3,3.9855,3.5118,3.5008,3.7845,3.4793
881.mp3,4.8762,4.8651,4.8712,4.855,4.7472
1552.mp3,3.4736,3.2243,3.365,3.2419,3.1043
182.mp3,4.3403,4.3222,3.7914,4.5476,3.8867
1042.mp3,2.2272,1.7586,1.9779,2.2358,2.1346
1186.mp3,3.9304,4.168,4.3109,4.1351,4.109
1389.mp3,1.6732,1.4952,1.2725,1.2861,1.5017
1641.mp3,2.8794,2.6384,2.6244,2.4335,2.3465
1330.mp3,3.6774,3.2293,3.3916,2.7398,3.1921
880.mp3,4.2474,3.8263,4.0352,4.008,4.017
959.mp3,2.5625,1.7616,2.2916,2.3179,2.0111
1189.mp3,2.5331,2.042,2.4837,2.2855,2.2342
487.mp3,3.0013,2.7964,2.9925,2.8366,2.8681
1951.mp3,3.6796,3.2149,3.3165,3.1735,3.2602
1146.mp3,2.8509,2.8388,2.8174,2.8044,2.8694
383.mp3,3.4139,3.7155,3.3962,3.6801,3.5869
171.mp3,2.7261,1.5437,1.8815,2.0941,1.5567
2391.mp3,2.5531,2.1049,1.7716,2.2949,2.064
1872.mp3,2.3879,1.941,1.9858,1.9386,1.747
2138.mp3,3.9953,3.5079,4.2301,3.4858,3.7344
1506.mp3,4.6855,4.4925,4.8074,3.9885,4.0102
1150.mp3,3.2864,3.5092,3.2224,3.0382,3.0652
1629.mp3,4.7309,4.4989,4.8176,4.5121,4.4693
924.mp3,2.8088,2.8479,2.7689,2.379,2.9406
1535.mp3,1.6914,1.7438,1.5047,1.5203,1.5294
2074.mp3,4.5006,4.261,4.6512,4.254,4.2212
747.mp3,1.9575,1.76,1.7045,1.7806,1.7625
720.mp3,1.7355,1.5101,1.7525,1.5221,1.5226
610.mp3,1.954,1.5402,2.1373,1.7507,1.739
546.mp3,1.3255,1.5354,1.5659,1.34,1.8227
534.mp3,4.7549,4.725,4.4899,4.525,4.4905
163.mp3,1.4786,1.1574,1.1677,1.3354,1.1979
2196.mp3,1.532,1.5474,1.519,1.5517,1.5586
222.mp3,1.1981,1.1669,1.1814,1.1908,1.1862
2156.mp3,1.6241,1.3562,1.3686,1.3803,1.3918
1712.mp3,3.3322,2.487,2.972,2.7986,2.4075
1993.mp3,3.5509,3.6584,3.4684,3.6451,3.6015
1372.mp3,3.8822,3.6517,3.8657,3.6038,3.6054
1977.mp3,4.2403,3.7563,4.4608,3.7338,3.4466
729.mp3,4.2712,4.518,4.6969,4.2849,4.672
635.mp3,4.261,3.82,3.963,3.8008,3.9819
1298.mp3,4.4618,3.801,4.2335,4.0327,4.2749
2280.mp3,4.538,4.539,4.7077,4.8136,4.7044
2067.mp3,4.5238,3.8537,4.0364,4.3157,4.0821
650.mp3,4.0285,4.1213,4.2733,3.5956,3.846
343.mp3,3.749,3.8624,3.1492,3.4884,3.2253
1197.mp3,4.0901,3.974,4.1149,3.9344,3.9777
1987.mp3,2.2767,1.5619,1.5503,1.8299,1.5458
1640.mp3,4.2894,4.5061,3.7612,4.2671,4.0188
167.mp3,3.791,3.5309,3.6493,3.6135,3.7634
35.mp3,3.8733,3.8865,3.4976,4.0194,3.8287
1644.mp3,3.2814,2.7739,2.2645,3.0531,2.4973
1796.mp3,2.2475,1.9733,1.727,1.8047,1.7533
983.mp3,4.1286,3.8974,4.1803,3.8833,3.7848
1261.mp3,2.4079,1.9739,2.7095,1.7599,2.2465
1259.mp3,4.839,4.734,4.8393,4.55,4.5226
1327.mp3,4.8682,4.7457,4.7493,4.7519,4.7414
326.mp3,3.603,3.7761,3.3302,3.5131,3.7619
2078.mp3,4.5315,4.3499,4.5213,4.5387,4.0117
1696.mp3,4.8715,4.761,4.85,4.8553,4.8549
864.mp3,4.8409,4.7247,4.8481,4.7048,4.4998
711.mp3,4.8481,4.5517,4.7123,4.7299,4.7033
403.mp3,2.2169,1.8058,1.5173,1.8463,1.8321
2090.mp3,4.6402,4.4164,4.5787,4.4998,4.426
1604.mp3,1.5263,1.5008,1.5403,1.5243,1.5337
813.mp3,1.8883,1.5111,1.6914,1.3106,1.5391
2164.mp3,4.7547,4.7192,4.5289,4.7123,4.5223
402.mp3,2.0039,1.7741,1.7422,1.5728,1.789
1239.mp3,4.0798,4.0718,4.4605,4.2546,4.016
73.mp3,2.6647,2.2796,2.5128,2.5748,2.4221
703.mp3,4.0076,3.7107,3.9674,3.9945,4.1934
1933.mp3,2.3756,2.2016,1.7325,1.7429,1.7923
1184.mp3,3.7261,3.1923,3.9893,3.1852,3.4622
159.mp3,3.6124,2.6306,2.7577,3.072,2.75
841.mp3,4.8693,4.8481,4.7369,4.8485,4.762
1594.mp3,4.0574,4.2889,4.2744,3.5921,3.792
1344.mp3,2.85,2.0542,2.355,2.1393,2.0386
78.mp3,4.8556,4.781,4.7602,4.6401,4.7614
1805.mp3,3.941,3.6911,3.6637,3.6282,3.1936
694.mp3,4.4759,4.2576,4.4501,4.1903,3.9562
477.mp3,1.2113,1.3177,1.1628,1.186,1.2002
1830.mp3,3.0029,2.6288,2.7695,2.2912,2.2534
1173.mp3,2.4196,2.0151,2.2352,2.449,2.3131
634.mp3,4.6882,4.523,4.5854,4.6422,4.477
144.mp3,3.7177,3.3099,3.676,3.4702,3.32
1315.mp3,1.9369,1.5079,1.4987,1.5085,1.7366
94.mp3,1.989,1.1602,1.2811,1.4291,1.3092
1174.mp3,3.5283,2.7839,2.7908,2.7481,2.9987
150.mp3,4.2143,3.91,4.3473,4.178,3.1931
1556.mp3,4.4891,4.2664,4.256,4.316,3.6951
1817.mp3,3.6817,3.5023,3.1477,3.096,3.0638
678.mp3,3.2148,2.7328,2.7755,2.2886,2.2519
646.mp3,4.2045,4.0389,4.222,4.1896,4.0197
612.mp3,3.9997,3.8006,4.2552,3.7307,4.0299
100.mp3,2.6911,2.3332,2.6175,1.912,3.0473
2140.mp3,4.2448,4.5277,4.8202,4.4934,4.6899
2094.mp3,1.757,1.3232,1.481,1.5098,1.5301
2294.mp3,4.0494,4.0173,4.2004,3.823,3.6094
2276.mp3,1.2882,1.5244,1.4874,1.5254,1.5413
2378.mp3,4.5492,4.7156,4.841,4.0893,4.3172
1094.mp3,3.5257,3.1201,3.3729,3.3477,3.1776
1325.mp3,4.8983,4.8654,4.8814,4.8628,4.8468
922.mp3,4.2641,4.2789,4.4839,4.2664,4.2608
598.mp3,4.727,4.5415,4.7163,4.8221,4.5299
2199.mp3,3.5087,2.9991,3.2364,3.0602,2.2743
2275.mp3,1.9755,1.7047,1.6028,1.6819,1.6754
299.mp3,4.0728,4.0672,4.0301,4.5155,3.7515
1317.mp3,2.2034,1.7463,1.2649,1.3038,1.7357
584.mp3,1.9507,1.749,1.9244,1.7442,1.5181
252.mp3,1.5745,1.4943,1.1744,1.621,1.3053
1789.mp3,3.15,3.2968,2.7386,2.7609,2.4474
1040.mp3,4.7511,4.7283,4.745,4.8343,4.8312
1557.mp3,4.7258,4.5024,4.7194,4.2374,4.3144
1469.mp3,4.01,3.0548,3.8079,3.0602,3.2833
1288.mp3,4.0373,4.0109,3.9954,3.7371,4.2432
1339.mp3,4.4656,4.2338,4.2125,3.6777,4.468
857.mp3,3.7464,3.7374,3.649,3.1996,3.7383
1487.mp3,3.8108,3.6601,3.5746,3.478,3.1282
727.mp3,1.7452,1.5389,1.3076,1.3211,1.5211
2170.mp3,3.9794,3.7681,3.7087,4.0557,3.6718
2007.mp3,3.2911,3.2885,3.2117,2.7998,2.5394
1193.mp3,4.5425,4.3702,4.4563,4.4812,4.3117
1567.mp3,4.7134,4.5519,4.5276,4.5287,4.6967
778.mp3,3.1332,3.0575,3.1595,3.1737,2.9347
465.mp3,1.7475,1.2887,1.2803,1.3132,1.5033
1768.mp3,4.2801,4.3045,4.0341,4.2975,3.7013
906.mp3,4.5242,4.5356,4.4982,4.5207,4.3198
979.mp3,2.7788,2.7694,3.0112,2.8654,3.0713
1103.mp3,3.2925,3.0903,3.4851,3.0071,3.5313
1522.mp3,1.9816,1.7708,1.7375,1.5307,1.5426
2388.mp3,4.5416,4.5587,4.737,4.5098,4.7358
106.mp3,1.3605,1.3012,1.5709,1.9296,1.7463
1717.mp3,3.8454,3.5945,3.5703,3.5456,3.4927
1018.mp3,4.0681,3.8611,4.2327,4.0272,4.2834
1702.mp3,4.8804,4.7434,4.7642,4.5622,4.7331
273.mp3,1.4843,1.154,1.4734,1.3045,1.1744
1081.mp3,4.7368,4.5536,4.7266,4.5454,4.7074
424.mp3,3.9974,3.2104,3.7791,3.2886,3.4415
586.mp3,4.2702,4.2354,4.4739,4.0288,3.7368
1845.mp3,3.7898,3.2802,3.4511,3.5268,3.3352
1793.mp3,4.5149,4.0882,4.5104,4.1344,4.0864
797.mp3,4.5155,4.2878,4.4819,4.3034,4.4995
112.mp3,3.0958,2.635,2.9985,2.8025,2.7851
1919.mp3,3.9632,3.808,4.2214,3.7447,4.0378
674.mp3,1.7754,1.7903,2.0458,1.7918,1.8291
1000.mp3,1.1665,1.3143,1.1487,1.1693,1.1811
503.mp3,3.3399,2.9083,2.8168,2.8582,2.6857
2159.mp3,4.3282,4.0324,4.5316,4.01,4.2877
1020.mp3,3.83,3.7523,3.716,3.8134,3.7939
518.mp3,4.7072,4.2963,4.255,4.0195,4.0019
1382.mp3,4.0437,3.8275,3.5433,3.6384,3.8299
602.mp3,1.4947,1.5214,1.295,1.5333,1.4958
1228.mp3,3.1338,2.9662,3.0956,3.1547,3.3947
1596.mp3,4.7359,4.523,4.8397,4.4977,4.2455
1688.mp3,3.9692,3.7378,3.6899,4.0003,3.5279
2381.mp3,4.5837,4.7211,4.8382,4.8319,4.7262
1671.mp3,4.2157,3.7144,4.5142,4.2625,3.9256
799.mp3,4.5356,4.3282,4.558,4.1021,3.9912
500.mp3,3.4961,2.9535,3.0586,2.686,2.3766
1635.mp3,3.1106,2.9198,3.2154,2.9682,2.9171
1673.mp3,4.5493,4.2962,4.6893,4.7025,4.2578
1323.mp3,4.5419,4.3654,4.5231,4.3617,4.3747
1203.mp3,3.376,2.7871,3.2617,3.2542,3.3092
17.mp3,1.9705,2.0386,2.7155,2.0397,2.9531
754.mp3,3.4813,2.7961,3.2872,2.5325,2.7725
37.mp3,2.7528,1.7994,2.3054,1.9173,2.9586
2374.mp3,4.7042,4.4968,4.6968,4.6839,4.7937
743.mp3,2.0833,1.479,1.2866,1.303,1.2926
613.mp3,3.7993,3.6249,3.7818,3.1073,3.6486
1907.mp3,4.7662,4.7175,4.7369,4.7139,4.3038
1998.mp3,4.7426,4.5454,4.8528,4.5349,4.5336
738.mp3,3.2012,3.0742,3.0495,2.6055,2.7638
157.mp3,4.7128,4.6182,4.6209,4.6963,4.1909
2359.mp3,3.977,3.999,4.4916,3.9865,4.7166
442.mp3,3.4134,2.4485,2.8169,2.7081,2.5215
994.mp3,3.4217,3.136,3.3353,3.1868,3.1795
1363.mp3,4.8473,4.7268,4.7239,4.7153,4.698
347.mp3,3.2117,3.1164,2.5874,3.0153,2.8723
2031.mp3,4.2854,4.3126,4.8179,4.2475,4.2779
213.mp3,1.3936,1.3144,1.2808,1.2445,1.4074
18.mp3,3.5364,2.821,3.0643,3.3977,3.9535
1658.mp3,3.7377,2.8745,3.3327,3.1299,3.0095
51.mp3,3.925,3.6732,3.7997,3.7354,3.6798
774.mp3,1.9625,1.4998,1.2942,1.2084,1.5227
1682.mp3,3.4325,2.7353,2.743,3.0292,2.895
1797.mp3,4.4842,3.7098,4.1798,3.45,3.523
2072.mp3,4.4776,4.2679,4.28,4.3077,3.7361
86.mp3,2.3268,1.3639,1.7959,2.1954,1.6041
