dimension,axis,correlation,p_value,direction
Coherence,axis_0,0.1905880676064677,0.00039376460394228784,正相关
Coherence,axis_1,0.22533460905371683,2.597815033728035e-05,正相关
Coherence,axis_2,0.21299921438094307,7.178876225099949e-05,正相关
Coherence,axis_3,0.2317140282446573,1.5012325023488136e-05,正相关
Musicality,axis_0,0.22503597810346937,2.6643488266845333e-05,正相关
Musicality,axis_1,0.280135784239768,1.3830089955324544e-07,正相关
Musicality,axis_2,0.2510905650502158,2.57601617294064e-06,正相关
Musicality,axis_3,0.25368634388968236,2.0114254221373206e-06,正相关
Memorability,axis_0,0.20186439477685728,0.0001711260373931114,正相关
Memorability,axis_1,0.23919373180061732,7.736101764463886e-06,正相关
Memorability,axis_2,0.23363244751209628,1.2691072938544423e-05,正相关
Memorability,axis_3,0.23680071764845337,9.58664376594282e-06,正相关
Clarity,axis_0,0.2036327545766889,0.0001495309796569402,正相关
Clarity,axis_1,0.23011552127379856,1.724890856041788e-05,正相关
Clarity,axis_2,0.23447696779403374,1.1781177898081946e-05,正相关
Clarity,axis_3,0.23732337231089193,9.149677911076656e-06,正相关
Naturalness,axis_0,0.20674539338789358,0.00011759696001891307,正相关
Naturalness,axis_1,0.267506443541557,5.147203357014813e-07,正相关
Naturalness,axis_2,0.24463095563956466,4.712671621774791e-06,正相关
Naturalness,axis_3,0.2418312543676977,6.091644294345356e-06,正相关
